month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202007,10039,"new york, ny",*,659305,0.0305,-0.0376,29,0.2083,0.9333,231,0.067,,4,,,0,,,0,,-1,4,0,-0.4286,847.8392622,-0.014,0.187,846,0.0662,0.0628,700318,0.0592,0.146,33,0.1786,0.5,0.1379,-0.0287,-0.3287
202007,46235,"indianapolis, in",,92175,0.1886,-0.2939,27,-0.129,-0.3571,106.5,0.3567,0.6512,20,1.5,-0.2857,0,-1,,0,,-1,72,-0.0137,0.3091,58.96410783,0.0479,-0.2235,1281,0.0398,-0.1101,166748,-0.2293,-0.5136,99,-0.0481,0.0206,2.6667,0.3118,1.3571
202007,39090,"kosciusko, ms",,119950,0.0426,0.2178,31,-0.1389,-0.3261,124.5,0.1801,0,0,,-1,0,,,4,0,0,5,0.6667,1.5,72.44157937,0.0531,0.5041,1803,0.0446,0.0059,153205,0.0811,0.4884,36,-0.0769,-0.25,0.1613,0.078,0.1178
202007,19401,"norristown, pa",*,125050,-0.0234,,47,-0.0784,,141,0.0444,,12,-0.25,-0.625,0,,,8,0,-0.8,18,0.2857,-0.2174,87.52679829,-0.0149,-0.2004,1376,-0.0029,-0.1324,155293,-0.044,-0.1727,65,0,-0.4583,0.383,0.1085,0.1459
202007,94903,"san rafael, ca",,855050,0.0118,-0.0777,40,0.0526,-0.2308,36.5,0.46,-0.1798,32,-0.2,1,0,,,8,-0.3333,-0.5,27,-0.1,0.5882,606.3214949,0.0173,0.0397,1513,0.0595,-0.0511,1047621,0.1217,-0.0516,67,-0.0147,-0.029,0.675,-0.1145,0.3481
202007,36111,"montgomery, al",*,248050,0.0701,,58,-0.0794,,100,-0.061,,12,-0.4,-0.4,0,,,20,0.25,0,24,0.0435,0.4118,84.47826816,-0.0058,-0.0172,3056.5,0.119,0.0831,292895,0.0413,0.0893,82,-0.0465,-0.2477,0.4138,0.0487,0.229
202007,46761,"lagrange, in",,129950,0.0612,-0.1814,14,0,-0.3333,74.5,0.3423,0.5851,4,0,-0.5,0,,,0,,-1,7,0,-0.2222,91.29394485,-0.0462,-0.0812,1702,0.0644,-0.1558,169226,0.014,-0.0477,21,0,-0.3,0.5,0,0.0714
202007,50536,"emmetsburg, ia",*,197550,0.0942,0.1686,20,-0.0909,,61.5,0.2059,-0.3594,4,0,0,0,,,0,,,12,0.7143,,93.6875,-0.0444,0.1246,1710,0.0688,0.1908,202130,-0.0331,0.1119,32,0.1034,0.5238,0.6,0.2818,0.6
202007,1550,"southbridge, ma",*,211950,-0.1524,,13,-0.381,,117,0.1304,,8,-0.3333,-0.3333,0,,,4,0,-0.5,4,-0.6364,1,157.506119,-0.054,0.268,1656,-0.0505,-0.0036,232348,-0.1246,-0.0782,17,-0.4688,-0.5,0.3077,-0.2161,0.2452
202007,95662,"orangevale, ca",*,530000,0.076,0.1336,25,-0.3056,,38.5,0.2623,0.2419,28,-0.4167,-0.3636,0,,,12,0,-0.5,60,-0.0476,0.2245,253.4093639,-0.0238,-0.0369,1997.5,0.0377,0.1122,563697,0.0214,-0.0082,85,-0.1414,-0.1827,2.4,0.65,1.5091
